soya
Hans Geiger	matemáticas	nazi	bomba atómica	Alemania	física	Berlín	judaísmo	Ernest Rutherford	Segunda Guerra Mundial	Mánchester
Noel Gallagher	URSS	The Beatles	Estados Unidos	Gran Bretaña	Oasis (banda)	George Michael	Reino Unido	Inglaterra	The Smiths	Mánchester	Coldplay	Londres
Esparta	Madrid	Idioma inglés	Roma	democracia	Grecia	siglo IV	Barcelona
humor
Rundfunk Berlin-Brandenburg	televisión	Alemania	Berlín	música clásica
Muzio Clementi	piano	Dorset	Roma	Blandford Forum	Italia	Francia	Reino Unido	compositor	Austria	Inglaterra	violín	siglo XX	cantante	Viena	Alemania
Número computable	matemáticas	función computable	problema de decisión	Marvin Minsky	Springer Science+Business Media	Alan Turing	Máquina de Turing	cálculo lambda	algoritmo	función recursiva	problema de la parada
ciencia
Otto Wels	Sturmabteilung	Partido Socialdemócrata de Alemania	Alemania nazi	Apátrida	Checoslovaquia	París	Alemania	Berlín	Partido Nacionalsocialista Obrero Alemán	Adolf Hitler	Segunda Guerra Mundial	Incendio del Reichstag
Olivia Poulet	Inglaterra	Benedict Cumberbatch	Londres	Actuación
fe
subrutina
Seeking a friend for the end of the world
internacionalismo
algoritmo
John William Mauchly	Maryland	programa almacenado	Historia de la electricidad	EDSAC	Física	ENIAC	Cambridge	Maurice Wilkes	EDVAC	Electricidad	John von Neumann
Suecia	Unión Europea	tecnología	Idioma noruego	homosexualidad	cristianismo	altitud	judaísmo	ciencias naturales	Precipitación (meteorología)	televisión	Estonia	Alemania	Adolf Hitler	barroco	petróleo	Canadá	España	Estados Unidos	Rusia	cerveza	Alemania nazi	agricultura	ingeniería	Idioma francés	Schutzstaffel	universidad	ateísmo	propiedad privada	Primera Guerra Mundial	campos de concentración	nazi	catolicismo	liberalismo	Ucrania	Londres	Finlandia	Idioma inglés	minería	Unión Soviética	Letonia	aeropuerto	inflación	Suiza	Biblia	inmigración	Países Bajos	California	Dinamarca	Unesco	música pop	Polonia	queso	ganadería	fútbol	Reino Unido	sindicato	Austria	referéndum	Patrimonio de la Humanidad	Premios Óscar	Noruega	Italia	democracia	Bélgica	Lituania	Segunda Guerra Mundial
siglo XVII
Rama II (novela)	Cita con Rama	El jardín de Rama	Arthur C. Clarke	Rama revelada	Idioma inglés	Gentry Lee
Elizabeth Swann	Piratas del Caribe	Inglaterra	Keira Knightley
Las fuentes del paraíso	ciencia ficción	Arthur C. Clarke	ciencia
monasterio
Pavilion Theatre (Bournemouth)
El Sistema del Mundo	El Sistema del Mundo
Richard Stearns	Premio Turing	clase de complejidad	teoría de la complejidad computacional	Universidad de Princeton	complejidad computacional	Máquina de Turing	Raj Reddy	científico de la computación	Juris Hartmanis	Wikidata	Butler Lampson	Association for Computing Machinery
SIGEVO
invierno
empresa
Dollis Hill
Informe Leuchter	Irving contra Lipstadt y otros	cianuro	Majdanek	SS	negacionismo del Holocausto
Alfonso Melero
Parlamento	Irlanda	Australia	Francia	Estado	Bélgica	Alemania	Canadá	Noruega	España	Polonia	Parlamento del Reino Unido	Países Bajos	Suecia	Rusia	Dinamarca
Fangoria	inteligencia artificial	España	televisión	Argentina	Disco compacto	Madrid	Astrud	Estados Unidos	Berlín	single	Buenos Aires	Barcelona	Fangoria	Londres
Fort Meade
Sherborne School
Paddington Waterside
teoría de la relatividad especial
Naval Enigma
matemáticas
autosimilaridad
Martin Freeman	Love Actually	Actor	Trilogía de El hobbit	Reino Unido	Peter Jackson	Actuación	Sherlock (serie de televisión)	Inglaterra	BBC	A Scandal in Belgravia	Hampshire	Teddington	Royal Court Theatre	Daily Mail
Duke of York's Theatre	Sherlock Holmes	Teatros del West End	Reino Unido	Ciudad de Westminster	Londres
lenguaje de programación
Albergue juvenil	Irlanda	siglo XX	Francia	Alemania	Canadá	Hungría	Londres
Laptra
Lyme Regis	puerto	Dorset	Costa Jurásica	Exeter	Domesday Book	Ichthyosauria	Jane Austen	Reino Unido	Lyme Bay	kilómetro	Guerra Civil Inglesa	Cavalier (apodo)	Sendero de la Costa Sudoeste	Patrimonio de la Humanidad	Inglaterra	Mary Anning	John Fowles	canal de la Mancha	Dorchester (Dorset)	Devon	Romanticismo	fósil
Oxford University Press	Carlos I de Inglaterra	Oxford	Inglaterra	Reino Unido
cristianismo
la noche de los cuchillos largos
Rupert Grint	Premios Satellite	teatro	MTV Movie Awards	Crítica cinematográfica	Canadá	premios Óscar	Tom Felton	Reino Unido	Thunderpants	Actuación	Hollywood	Daniel Radcliffe	Inglaterra	BBC	Londres	CBS	actor	Noruega	Adolf Hitler	Emma Watson
cine
A Dangerous Method	Un método peligroso	A Dangerous Method
Chloe Grace Moretz
Premios BSFA	ciencia ficción
Seattle	renta per cápita	Nueva York	Francia	verano	idioma inglés	hermanamiento de ciudades	Alemania	Canadá	Estados Unidos	Hungría	Madrid	invierno	comunista	Londres	Kurt Cobain	Israel	Polonia	Italia	siglo XIX	Irlanda	Noruega
helecho
Barbican Centre	música clásica	BBC	Londres	Segunda Guerra Mundial
ALGOL	lenguaje de programación	John Backus	Idioma inglés	acrónimo	C. A. R. Hoare	John McCarthy	Peter Naur	Niklaus Wirth
Ciencias de la Computación
aritmética de Presburger
pueblo sajón
Australia	chile	fútbol	kilómetro cuadrado	Sídney	bosque	siglo XX	Francia	turismo	genocidio	judaísmo	Portugal	kilómetro	televisión	Inglaterra	sector terciario	idioma inglés	Alemania	altitud	especie	geología	España	Estados Unidos	Unesco	siglo XVI	Gran Bretaña	agricultura	partido político	ateísmo	Primera Guerra Mundial	Estado	racionalismo	democracia liberal	teatro	cultura	Argentina	inmigración	Países Bajos	renta per cápita	música	orquesta	siglo XVII	cine	música clásica	Italia	Isabel II del Reino Unido	siglo XIX	Reino Unido	manufactura	Noruega	Segunda Guerra Mundial
escultismo
Obispo de Salisbury
Colombo	fútbol	Gran Bretaña	Rusia	Países Bajos	geografía	Sri Lanka
Ucrania	Idioma ruso	fútbol	Unión Europea	kilómetro cuadrado	Grecia	República Checa	Francia	turismo	genocidio	Precipitación (meteorología)	arena	tasa de mortalidad	kilómetro	Patrimonio de la Humanidad	Bielorrusia	cristianismo	puerto	bolchevique	Estados Unidos	Rusia	Hungría	petróleo	Estado	BBC	Primera Guerra Mundial	catolicismo	Lituania	Unión Soviética	inflación	tasa de natalidad	campo de concentración	Idioma polaco	Canadá	Polonia	Eslovaquia	referéndum	agricultura	British Broadcasting Corporation	dólar estadounidense	Segunda Guerra Mundial
Movimiento Revolucionario Conservador	conservadurismo	nación	Führer	democracia	Franz von Papen	Oswald Spengler	Carl Schmitt	Primera Guerra Mundial	Edgar Julius Jung	liberalismo	fascismo	Estado social	SS	nazismo	Volksgemeinschaft	Otto von Bismarck
meme
telescopio
Colossus	Harvard Mark I	Milton Keynes	Gran Bretaña	Winston Churchill	computadora	Turing completo	Tommy Flowers	Springer Science+Business Media	Alan Turing	Buckinghamshire	Válvula termoiónica	Max Newman	ENIAC	Bletchley Park	Dollis Hill	Oxford University Press	Manchester Mark I	Londres	Segunda Guerra Mundial	EDVAC
Idioma inglés	Unión Europea	Kent	Wessex	William Shakespeare	España	Estados Unidos	cristianismo	India	Gran Bretaña	siglo XX	Latín	siglo XV	Microsoft Excel	Reino Unido	Winston Churchill	Países Bajos	idioma alemán	Irlanda	Gibraltar	Australia	Inglaterra	Dinamarca	Malta	Alemania	Canadá	Pakistán	Sri Lanka
Frederick Brooks	Premio Turing	Londres	Alan Turing	Berlín	científico de la computación	Jim Gray	Universidad de Harvard	Wikidata	Andrew Chi-Chih Yao
posada (establecimiento)
Joseph Sifakis	Premio Turing	Edmund Clarke	Grecia	model checking	Barbara Liskov	Francia	Ciencias de la Computación	E. Allen Emerson
manufactura
período Tudor
BAFTA
Daniel Radcliffe	Pueblo judío	Rupert Grint	Estados Unidos	Nueva York	Rusia	Gran Bretaña	Actor	Ernest Hemingway	Reino Unido	arte dramático	poeta	televisión	Hollywood	música	Australia	Emma Watson	Primera Guerra Mundial	Gary Oldman	Inglaterra	BBC	BBC Two	James Bond	Royal National Theatre	Londres	actor	Polonia	British Broadcasting Corporation
ensenada
Elsa Einstein	Princeton (Nueva Jersey)	Alemania	Berlín	Imperio alemán	Albert Einstein	Estados Unidos
SIGSAM
Letters Live
Maurice Wilkes	lenguaje de programación	Premio Turing	radar	ciencias de la computación	EDVAC	Richard Hamming	Universidad de Mánchester	Alan Perlis	programación	Reino Unido	biología	Cambridge	programa almacenado	físico	física	Inglaterra	Unix	informática	EDSAC	Universidad de Cambridge	ENIAC	Royal Society	Segunda Guerra Mundial	John von Neumann
Timothy Carlton	Reino Unido	Benedict Cumberbatch	Londres	Inglaterra	BBC	Actor	Wanda Ventham	actor
Mendel
John Cowper Powys	Escritor	filósofo	Sherborne School	Inglaterra	escritor	Reino Unido	Estados Unidos	Gales	T. F. Powys	Bertrand Russell	época victoriana
Ulm	Stuttgart	Partido Socialdemócrata de Alemania	Alemania	Múnich	Royal Air Force	siglo XVI	Albert Einstein
Joe Russo
Marvel
Partido Obrero Alemán (nazi)	Partido Obrero Alemán (nazi)
Judea Pearl	Premio Turing	filósofo	Pakistán	Israel	inteligencia artificial	Ciencias de la Computación	Estados Unidos	filosofía de la ciencia
túmulo
válvula termoiónica
aceleración
Terraced house	Bath	siglo XVII	Berlín	idioma inglés
Alan Kay	Premio Turing	Vinton Cerf	programación orientada a objetos	Leonard Adleman	Adi Shamir	Alemania	Berlín	Ronald Rivest	Estados Unidos	Ivan Sutherland	Robert Kahn	Smalltalk
coordenadas geográficas
Herbert Alexander Simon	Premio Turing	Donald Knuth	inteligencia artificial	Allen Newell	psicología	Dana Scott	Michael Oser Rabin	Association for Computing Machinery
Distrito electoral de Bournemouth East	Bournemouth	Parlamento del Reino Unido	Dorset	Partido Conservador (Reino Unido)
Robert Faurisson	Suecia	Estados Unidos	Pueblo judío	Segunda Guerra Mundial	negacionismo del Holocausto	Paul Rassinier
isla de Brownsea
arcilla de Gault
Guerra Civil Inglesa	Irlanda	parlamentarista	Carlos I de Inglaterra	Cavalier (apodo)	Inglaterra
galleta
fotón
teorema de completitud de Gödel
alfarería
lenguaje formal
Paul Rassinier	Raul Hilberg	negacionismo del Holocausto	escritor	Roma	Unión Soviética	capitalismo	Alemania nazi	nazismo	pacifismo	Schutzstaffel	Primera Guerra Mundial	Antisemitismo	BBC	fascismo	comunista	campos de concentración	Juicios de Núremberg	Joseph Goebbels	judíos	Alemania	Adolf Hitler	Londres	Segunda Guerra Mundial
Frente Alemán del Trabajo	idioma alemán	Hjalmar Schacht	Alemania	Machtergreifung	Robert Ley	Führerprinzip	sindicato	Volksgemeinschaft
Alonzo Church	lógico	Dana Scott	Universidad de Princeton	Alan Turing	Matemáticas	cálculo lambda	Stephen Kleene	máquina de Turing	Estados Unidos	función recursiva
Molière	Francia	siglo XVI	París	siglo XVII	Escritor
Blanco (persona)	Finlandia	Argentina	Portugal	siglo XIX	Canadá	España	Estados Unidos	India	siglo XVI	Ensayo sobre la desigualdad de las razas humanas	Gran Bretaña	siglo XX	Grecia	agricultura	Francia	nazismo	Reino Unido	inmigración	Hungría	arios	raza	Irlanda	Racismo	Australia	California	Pakistán	Inglaterra	celta	Nazismo	Buenos Aires	Alemania	Venezuela	eslavos	Egipto
Fernando J. Corbató	Premio Turing	Ken Thompson	Multics	MIT	Robin Milner	física	científico de la computación	Unix	Association for Computing Machinery
Dorchester (Dorset)	Inglaterra	Thomas Hardy	Poole	Weymouth	río Frome (Dorset)	Dorset	National Trust
sionismo
Gleichschaltung	Constitución de Weimar	campos de concentración	Alemania nazi	Franz von Papen	Sturmabteilung	Decreto del Incendio del Reichstag	Ernst Röhm	Alemania	presidente	Canciller de Alemania	Führer	Adolf Hitler	Paul von Hindenburg	Totalitarismo	Schutzstaffel	Führerprinzip	comunista	partido político	totalitarismo
La Confusión
Stuttgart	Unión Europea	Cannstatt	Múnich	Estados Unidos	India	Rusia	República Checa	Francia	Reino Unido	Alemania	Polonia	Egipto	Cardiff
Problema de la parada	Crash (informática)	bucle infinito	heurística	Diagonalización de Cantor	Constante de Chaitin	Teoremas de incompletitud de Gödel	Entscheidungsproblem	Alan Turing	correctitud	compilador	Máquina de Turing	Paradoja	subrutina	Si y solo si
encuesta
Piratas del Caribe	Elizabeth Swann	Keira Knightley	tecnología	Gore Verbinski	Idioma inglés	Nueva York	Videojuego	Zoe Saldana	Hollywood	Orlando Bloom	Johnny Depp	siglo XVII	Steven Spielberg	novela	Sistema Operativo
Noruega	fútbol	Unión Europea	bosque	Idioma noruego	Océano Atlántico	Francia	judaísmo	kilómetro	República Popular China	Patrimonio de la Humanidad	pesca	idioma inglés	petróleo	Estados Unidos	Unesco	Rusia	Alemania nazi	El País	Hollywood	Estado	BBC	Primera Guerra Mundial	densidad de población	mineral	Finlandia	idioma alemán	Wessex	Parlamento	minería	gas	Dinamarca	siglo XVII	siglo XII	Alfredo el Grande	viento	Suecia	siglo XIX	Austria	Segunda Guerra Mundial	Bélgica	Luxemburgo	dólar estadounidense
teatro
Steve McQueen (artista)	Steve McQueen (artista)
Máquina oracle	Máquina oracle	Máquina oráculo
Moix
Louis Lucien Bonaparte	Gran Bretaña	Italia	química	Francia	Idioma inglés	Inglaterra	Londres
Premio Grace Murray Hopper	Donald Knuth	Luis von Ahn	Wikidata	Association for Computing Machinery
Instituto Alan Turing
número de Fibonacci
The Guinea Pig
turismo
fotógrafo
ciencia ficción
Jean Teulé
socialismo democrático
mecánica cuántica
ario
The Imitation Game	Premios Satellite	científico	Sherborne School	Idioma inglés	Benedict Cumberbatch	Suspense (género)	Morten Tyldum	España	Estados Unidos	Bletchley Park	bombe	Keira Knightley	Premios del Sindicato de Actores	Reino Unido	Winston Churchill	Headhunters (película)	criptoanalista	inteligencia artificial	Joan Clarke	IMDb	Princeton University Press	Buckinghamshire	Premios Óscar	BBC	Computing machinery and intelligence	British Independent Film Awards	Enigma (máquina)	Alan Turing	homosexualidad	matemático	Segunda Guerra Mundial
Marilyn (colina)	Irlanda	Gran Bretaña	altitud	Inglaterra	Gales
Ateo	ateísmo
Rama revelada	Cita con Rama	Rama II (novela)	El jardín de Rama	idioma inglés	Arthur C. Clarke	Rama revelada	ciencia ficción	novela	Gentry Lee	New York	Wikidata
Robert Michels	Italia	democracia	Vilfredo Pareto	Alemania	Roma
St Mary's Hospital (Londres)
Murder is Easy
Finlandia	Unión Europea	renta per cápita	cristianismo	siglo XX	siglo XV	kilómetro	Patrimonio de la Humanidad	Estonia	judíos	Estados Unidos	Rusia	Alemania nazi	agricultura	ingeniería	Idioma inglés	Unión Soviética	URSS	Suecia	fútbol	siglo XIX	Noruega	Segunda Guerra Mundial
Teoría del todo	átomo	fotón	espacio-tiempo	selección natural	pseudociencia	Albert Einstein	Alfred North Whitehead	gravedad	Teoría de cuerdas	interacción nuclear fuerte	cosmología	Abraham Pais	relatividad general	Física teórica	Teoría M	electromagnetismo	Stephen Hawking	mecánica cuántica	Isaac Newton
sistema de numeración decimal
Martin Heidegger	escritor	siglo XX	Nazismo	genocidio	Nietzsche	filosofía	filósofo	Alemania	Segunda Guerra Mundial	metafísica
hermanamiento de ciudades
viento
Premios del Sindicato de Actores de Cine	Premios del Sindicato de Actores
Robert Tarjan	Premio Turing	Donald Knuth	Universidad de Princeton	análisis de algoritmos	John Cocke	científico de la computación	algoritmo	estructura de datos	Richard M. Karp	Association for Computing Machinery	John Hopcroft
mártires de Tolpuddle
README	programa (computación)
Mileva Marić	Imperio Austro húngaro	Hans Albert Einstein	Berna	esquizofrenia	Alemania	Escuela Politécnica Federal de Zúrich	Universidad de Zúrich	Lieserl Einstein	Física	Eduard Einstein	Suiza	Elsa Einstein	Albert Einstein
Programa Apolo	España	geología	Unión Soviética	Biblia	gravedad	astronáutica	kilómetro	Australia	California	Luna
Abbotsbury	Dorchester (Dorset)	piedra caliza	Inglaterra	turismo	Wikidata	Weymouth	Costa Jurásica	Dorset
Khan Noonien Singh	J. J. Abrams	Benedict Cumberbatch	Estados Unidos	Biblia	siglo XX	Wired	Adolf Hitler	Zachary Quinto	Friedrich Nietzsche	india	Doctor Who	filosofía	Chris Pine	Segunda Guerra Mundial	CBS
London Boulevard	Reino Unido	Keira Knightley	Colin Farrell
Anna Karenina
Múnich	Acuerdos de Múnich	Berlín	Imperio alemán	Estados Unidos	Unión Europea	Italia	Francia	siglo XIX	Reino Unido	Stuttgart	Primera Guerra Mundial	Otto von Bismarck	Alemania	Suecia	Adolf Hitler	Ucrania	Segunda Guerra Mundial
arco natural
Orlando Bloom	Keira Knightley	Kent	India	Trilogía de El hobbit	Reino Unido	dislexia	actuación	Peter Jackson	Actuación	Hollywood	Australia	Inglaterra	Johnny Depp	Suiza	Londres	Viggo Mortensen	Premios del Sindicato de Actores
Sophie Hunter
Royal Society	Robert Boyle	Física	Joseph Dalton Hooker	Stephen Hawking	matemáticas	Reino Unido	biología	Carlos I de Inglaterra	Idioma inglés	Medalla Sylvester	electromagnetismo	Ernest Rutherford	Gottfried Leibniz	Matemáticas	Medalla Copley	Oxford	Isaac Newton	Londres
Premio Óscar	Premios Óscar
Expiación (película)	Atonement (película)	Expiación (película)
conservadurismo
test de Turing inverso
álgebra
arma nuclear
Documental	Argentina	España	Unión Soviética	París
literatura fantástica
David Suchet	Letonia	Francia	actor	Inglaterra	Reino Unido	Londres
Gran depresión	Gran depresión
El País	Bélgica	Argentina	Alemania	España	Francisco Franco	Italia	democracia	Francia	Madrid	televisión	Barcelona	liberalismo
terreno inundable
filosofía de la ciencia
crecimiento poblacional
Reconocimiento óptico de caracteres
Suspense (género)
Cálculo de sistemas comunicantes	Robin Milner	álgebra	C. A. R. Hoare	lenguaje formal
referéndum
Vatio	radar	Argentina	metro	electromagnetismo
Sherlock Holmes	Arthur Conan Doyle	Benedict Cumberbatch	siglo XIX	Goethe	Sigmund Freud	universidad	Bill Condon	química	violín	Sherlock (serie de televisión)	Reino Unido	Martin Freeman	música	inteligencia	Primera Guerra Mundial	Suiza	Jonny Lee Miller	Universidad de Cambridge	novela	Guy Ritchie	British Broadcasting Corporation	Londres
Matmos	Estados Unidos
James Chadwick	campo de concentración	Universidad de Mánchester	Royal Society	Proyecto Manhattan	Medalla Copley	Alemania	físico	Berlín	Primera Guerra Mundial	Hans Geiger	The Times	Universidad de Cambridge	Inglaterra	Oxford University Press	bomba atómica
Mayfair	Hyde Park	Regiones de Inglaterra	Isabel II del Reino Unido	Condados de Inglaterra	Idioma inglés	Barrio	Nación constitutiva	Gran Londres	Estados Unidos	Ciudad de Westminster	Londres	Belgravia	Municipio de Londres
The Old Malthouse
Hugh Fearnley-Whittingstall
Martin Amis	Gran Bretaña	Universidad de Mánchester	Swansea	Jane Austen	Oxford	Idioma inglés	novela
fractales
PASCAL
Oscar Wilde	idioma alemán	Paddington	escritor	Canadá	Estados Unidos	Nueva York	Grecia	Italia	Francia	Reino Unido	poeta	filosofía	Época victoriana	Irlanda	París	Primera Guerra Mundial	John Ruskin	idioma inglés	William Shakespeare	Oxford	catolicismo	Reino Unido de Gran Bretaña e Irlanda	Londres
Paul Preuss	Arthur C. Clarke	Wikidata	Estados Unidos	ciencia
Lidia Damunt	Hidrogenesse	España	Estados Unidos	Alfonso Melero	La Bien Querida	siglo XII	Reino Unido	El País	Madrid	Mondosonoro	Genís Segarra	Barcelona	Idioma francés	Rockdelux	Hello Cuca
compilador
inteligencia
The Other Boleyn Girl	Kent	Scarlett Johansson	Benedict Cumberbatch	Estados Unidos	Natalie Portman	Francia	Wiltshire	siglo XVI	Reino Unido	Emmy	Australia	Premios Óscar	Inglaterra	Bath	British Broadcasting Corporation	Londres	España	Sir William Carey
laguna Fleet
H. G. Wells	tecnología	escritor	literatura fantástica	geología	Kent	socialismo	Alemania nazi	Reino Unido	filósofo	Primera Guerra Mundial	ciencia	ciencia ficción	Luna	época victoriana	Universidad de Londres	Escritor	novela	Londres
mansión
libra esterlina
Star Trek En la Oscuridad
James Wilkinson	Premio Turing	Middlesex	Kent	John McCarthy	Marvin Minsky	Teddington	filosofía	California	Reino Unido	termodinámica	Inglaterra	matemático	matemáticas	Cambridge	Segunda Guerra Mundial	informática
Alemania nazi	Ernst Röhm	Acuerdos de Múnich	Berlín	Pueblo judío	Mi lucha	Robert Ley	Waffen-SS	capitalismo	noche de los cristales rotos	Francia	turismo	genocidio	Winston Churchill	Portugal	Constitución de Weimar	SS	Führerprinzip	IBM	comunistas	Heinrich Himmler	Joseph Goebbels	judíos	Checoslovaquia	Alemania	Canciller de Alemania	Estados Unidos	Adolf Hitler	propiedad privada	Führer	Canadá	dictadura	anticomunismo	Campo Zeppelín	Frente Alemán del Trabajo	nazismo	Lebensborn	Schutzstaffel	totalitarismo	petróleo	París	Volkswagen	Unión de Repúblicas Socialistas Soviéticas	Estado	Partido Nacionalsocialista Obrero Alemán	Primera Guerra Mundial	comunista	Suiza	Rudolf Hess	campos de concentración	Sturmabteilung	URSS	Machtergreifung	Londres	idioma alemán	Praga	fascismo	Unión Soviética	Reichstag (parlamento alemán)	Reinhard Heydrich	Países Bajos	Liga de Muchachas Alemanas	música	Prora	Paul von Hindenburg	Dinamarca	Juicios de Núremberg	nazi	Suecia	literatura	Polonia	Imperio alemán	Italia	Reino Unido	Austria	Noruega	Malta	Bélgica	Luxemburgo	Segunda Guerra Mundial
Mike McQuay
mánager
Puerto de Poole	Wareham (Dorset)	Isla Green (Dorset)	estuario	Río Frome (Dorset)	canal de la Mancha	idioma inglés	Dorset	Inglaterra	Poole	escultismo	isla Furzey	valle
novela
Distrito electoral de Poole	Dorset	Poole	Parlamento del Reino Unido	Partido Conservador (Reino Unido)
Gimnàstica passiva	Hello Cuca	Hidrogenesse	Austrohúngaro (sello)	Pop	Animalitos	Alfonso Melero
Zachary Quinto	Star Trek Into Darkness	ciencia ficción	Estados Unidos	Actuación	Chris Pine
Nicholas J. Hopper
SIGCHI
Andy Serkis	escritor	Albert Einstein	Trilogía de El hobbit	Premios BAFTA	Reino Unido	captura de movimiento	director de cine	Inglaterra	Middlesex	actor	Premios del Sindicato de Actores
Robert Walter
Maryland	Irlanda	sector primario	estuario	bosque	puerto	verano	Blanco (persona)	Alemania	televisión	Océano Atlántico	minería	Dólar estadounidense	siglo XX	agricultura	ganadería	altitud	siglo XIX	Reino Unido	inmigración	nieve	invierno	sector secundario	petróleo	Carlos I de Inglaterra	Primera Guerra Mundial	manufactura	Inglaterra	aeropuerto	Italia	renta per cápita	referéndum	catolicismo	Polonia	sector terciario	Segunda Guerra Mundial
Adelaide Clemmens
Proyecto Manhattan	átomo	radar	Werner Heisenberg	Canadá	Estados Unidos	ad hoc	bomba atómica	Unión Soviética	Albert Einstein	Alemania nazi	inflación	Segunda Guerra Mundial	Reino Unido	espía	Hungría	Franklin D. Roosevelt	arma nuclear	físico	fascismo	Robert Oppenheimer	judíos	Alemania	criptografía	dólar estadounidense	John von Neumann
Daily Telegraph
Whitfield Diffie	Premio Turing	matemáticas	criptógrafo	California	Escuela Politécnica Federal de Zúrich	Estados Unidos
Michael H. Hart	Idioma inglés	Estados Unidos	cristianismo	Nueva York
Hungría	Unión Europea	cristianismo	Eslovaquia	Inglaterra	Viena	Checoslovaquia	eslavos	Adolf Hitler	suicidio	Estados Unidos	socialismo	Alemania nazi	democracia	Primera Guerra Mundial	comunista	Ucrania	Unión Soviética	Rumanía	inflación	Italia	Austria	Segunda Guerra Mundial
Actor	autor	Actuación
Zweites Buch	Mein Kampf	Adolf Hitler	Alemania
Domesday Book	Domesday Book
gauleiter
